"","Passenger.Name","Passenger.Sex","Passsenger.Age","Passenger.Survived","Passenger.Class"
"146","Harper, Mr. Henry Sleeper","Male",48,"YES","1st Class"
"147","Harper, Mrs. Henry Sleeper (Myna Haxtun)","Female",49,"YES","1st Class"
"148","Harrington, Mr. Charles H","Male",NA,"NO","1st Class"
"149","Harris, Mr. Henry Birkhardt","Male",45,"NO","1st Class"
"150","Harris, Mrs. Henry Birkhardt (Irene Wallach)","Female",35,"YES","1st Class"
"151","Harrison, Mr. William","Male",40,"NO","1st Class"
"152","Hassab, Mr. Hammad","Male",27,"YES","1st Class"
"153","Hawksford, Mr. Walter James","Male",NA,"YES","1st Class"
"154","Hays, Miss. Margaret Bechstein","Female",24,"YES","1st Class"
"155","Hays, Mr. Charles Melville","Male",55,"NO","1st Class"
"156","Hays, Mrs. Charles Melville (Clara Jennings Gregg)","Female",52,"YES","1st Class"
"157","Head, Mr. Christopher","Male",42,"NO","1st Class"
"158","Hilliard, Mr. Herbert Henry","Male",NA,"NO","1st Class"
"159","Hipkins, Mr. William Edward","Male",55,"NO","1st Class"
"160","Hippach, Miss. Jean Gertrude","Female",16,"YES","1st Class"
"161","Hippach, Mrs. Louis Albert (Ida Sophia Fischer)","Female",44,"YES","1st Class"
"162","Hogeboom, Mrs. John C (Anna Andrews)","Female",51,"YES","1st Class"
"163","Holverson, Mr. Alexander Oskar","Male",42,"NO","1st Class"
"164","Holverson, Mrs. Alexander Oskar (Mary Aline Towner)","Female",35,"YES","1st Class"
"165","Homer, Mr. Harry (""Mr E Haven"")","Male",35,"YES","1st Class"
"166","Hoyt, Mr. Frederick Maxfield","Male",38,"YES","1st Class"
"167","Hoyt, Mr. William Fisher","Male",NA,"NO","1st Class"
"168","Hoyt, Mrs. Frederick Maxfield (Jane Anne Forby)","Female",35,"YES","1st Class"
"169","Icard, Miss. Amelie","Female",38,"YES","1st Class"
"170","Isham, Miss. Ann Elizabeth","Female",50,"NO","1st Class"
"171","Ismay, Mr. Joseph Bruce","Male",49,"YES","1st Class"
"172","Jones, Mr. Charles Cresson","Male",46,"NO","1st Class"
"173","Julian, Mr. Henry Forbes","Male",50,"NO","1st Class"
"174","Keeping, Mr. Edwin","Male",32,"NO","1st Class"
"175","Kent, Mr. Edward Austin","Male",58,"NO","1st Class"
"176","Kenyon, Mr. Frederick R","Male",41,"NO","1st Class"
"177","Kenyon, Mrs. Frederick R (Marion)","Female",NA,"YES","1st Class"
"178","Kimball, Mr. Edwin Nelson Jr","Male",42,"YES","1st Class"
"179","Kimball, Mrs. Edwin Nelson Jr (Gertrude Parsons)","Female",45,"YES","1st Class"
"180","Klaber, Mr. Herman","Male",NA,"NO","1st Class"
"181","Kreuchen, Miss. Emilie","Female",39,"YES","1st Class"
"182","Leader, Dr. Alice (Farnham)","Female",49,"YES","1st Class"
"183","LeRoy, Miss. Bertha","Female",30,"YES","1st Class"
"184","Lesurer, Mr. Gustave J","Male",35,"YES","1st Class"
"185","Lewy, Mr. Ervin G","Male",NA,"NO","1st Class"
"186","Lindeberg-Lind, Mr. Erik Gustaf (""Mr Edward Lingrey"")","Male",42,"NO","1st Class"
"187","Lindstrom, Mrs. Carl Johan (Sigrid Posse)","Female",55,"YES","1st Class"
"188","Lines, Miss. Mary Conover","Female",16,"YES","1st Class"
"189","Lines, Mrs. Ernest H (Elizabeth Lindsey James)","Female",51,"YES","1st Class"
"190","Long, Mr. Milton Clyde","Male",29,"NO","1st Class"
"191","Longley, Miss. Gretchen Fiske","Female",21,"YES","1st Class"
"192","Loring, Mr. Joseph Holland","Male",30,"NO","1st Class"
"193","Lurette, Miss. Elise","Female",58,"YES","1st Class"
"194","Madill, Miss. Georgette Alexandra","Female",15,"YES","1st Class"
"195","Maguire, Mr. John Edward","Male",30,"NO","1st Class"
"196","Maioni, Miss. Roberta","Female",16,"YES","1st Class"
"197","Marechal, Mr. Pierre","Male",NA,"YES","1st Class"
"198","Marvin, Mr. Daniel Warner","Male",19,"NO","1st Class"
"199","Marvin, Mrs. Daniel Warner (Mary Graham Carmichael Farquarson)","Female",18,"YES","1st Class"
"200","Mayne, Mlle. Berthe Antonine (""Mrs de Villiers"")","Female",24,"YES","1st Class"
"201","McCaffry, Mr. Thomas Francis","Male",46,"NO","1st Class"
"202","McCarthy, Mr. Timothy J","Male",54,"NO","1st Class"
"203","McGough, Mr. James Robert","Male",36,"YES","1st Class"
"204","Meyer, Mr. Edgar Joseph","Male",28,"NO","1st Class"
"205","Meyer, Mrs. Edgar Joseph (Leila Saks)","Female",NA,"YES","1st Class"
"206","Millet, Mr. Francis Davis","Male",65,"NO","1st Class"
"207","Minahan, Dr. William Edward","Male",44,"NO","1st Class"
"208","Minahan, Miss. Daisy E","Female",33,"YES","1st Class"
"209","Minahan, Mrs. William Edward (Lillian E Thorpe)","Female",37,"YES","1st Class"
"210","Mock, Mr. Philipp Edmund","Male",30,"YES","1st Class"
"211","Molson, Mr. Harry Markland","Male",55,"NO","1st Class"
"212","Moore, Mr. Clarence Bloomfield","Male",47,"NO","1st Class"
"213","Natsch, Mr. Charles H","Male",37,"NO","1st Class"
"214","Newell, Miss. Madeleine","Female",31,"YES","1st Class"
"215","Newell, Miss. Marjorie","Female",23,"YES","1st Class"
"216","Newell, Mr. Arthur Webster","Male",58,"NO","1st Class"
"217","Newsom, Miss. Helen Monypeny","Female",19,"YES","1st Class"
"218","Nicholson, Mr. Arthur Ernest","Male",64,"NO","1st Class"
"219","Oliva y Ocana, Dona. Fermina","Female",39,"YES","1st Class"
"220","Omont, Mr. Alfred Fernand","Male",NA,"YES","1st Class"
"221","Ostby, Miss. Helene Ragnhild","Female",22,"YES","1st Class"
"222","Ostby, Mr. Engelhart Cornelius","Male",65,"NO","1st Class"
"223","Ovies y Rodriguez, Mr. Servando","Male",28,"NO","1st Class"
"224","Parr, Mr. William Henry Marsh","Male",NA,"NO","1st Class"
"225","Partner, Mr. Austen","Male",45,"NO","1st Class"
"226","Payne, Mr. Vivian Ponsonby","Male",23,"NO","1st Class"
"227","Pears, Mr. Thomas Clinton","Male",29,"NO","1st Class"
"228","Pears, Mrs. Thomas (Edith Wearne)","Female",22,"YES","1st Class"
"229","Penasco y Castellana, Mr. Victor de Satode","Male",18,"NO","1st Class"
"230","Penasco y Castellana, Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo)","Female",17,"YES","1st Class"
"231","Perreault, Miss. Anne","Female",30,"YES","1st Class"
"232","Peuchen, Major. Arthur Godfrey","Male",52,"YES","1st Class"
"233","Porter, Mr. Walter Chamberlain","Male",47,"NO","1st Class"
"234","Potter, Mrs. Thomas Jr (Lily Alexenia Wilson)","Female",56,"YES","1st Class"
"235","Reuchlin, Jonkheer. John George","Male",38,"NO","1st Class"
"236","Rheims, Mr. George Alexander Lucien","Male",NA,"YES","1st Class"
"237","Ringhini, Mr. Sante","Male",22,"NO","1st Class"
"238","Robbins, Mr. Victor","Male",NA,"NO","1st Class"
"239","Robert, Mrs. Edward Scott (Elisabeth Walton McMillan)","Female",43,"YES","1st Class"
"240","Roebling, Mr. Washington Augustus II","Male",31,"NO","1st Class"
"241","Romaine, Mr. Charles Hallace (""Mr C Rolmane"")","Male",45,"YES","1st Class"
"242","Rood, Mr. Hugh Roscoe","Male",NA,"NO","1st Class"
"243","Rosenbaum, Miss. Edith Louise","Female",33,"YES","1st Class"
"244","Rosenshine, Mr. George (""Mr George Thorne"")","Male",46,"NO","1st Class"
"245","Ross, Mr. John Hugo","Male",36,"NO","1st Class"
"246","Rothes, the Countess. of (Lucy Noel Martha Dyer-Edwards)","Female",33,"YES","1st Class"
"247","Rothschild, Mr. Martin","Male",55,"NO","1st Class"
"248","Rothschild, Mrs. Martin (Elizabeth L. Barrett)","Female",54,"YES","1st Class"
"249","Rowe, Mr. Alfred G","Male",33,"NO","1st Class"
"250","Ryerson, Master. John Borie","Male",13,"YES","1st Class"
"251","Ryerson, Miss. Emily Borie","Female",18,"YES","1st Class"
"252","Ryerson, Miss. Susan Parker ""Suzette""","Female",21,"YES","1st Class"
"253","Ryerson, Mr. Arthur Larned","Male",61,"NO","1st Class"
"254","Ryerson, Mrs. Arthur Larned (Emily Maria Borie)","Female",48,"YES","1st Class"
"255","Saalfeld, Mr. Adolphe","Male",NA,"YES","1st Class"
"256","Sagesser, Mlle. Emma","Female",24,"YES","1st Class"
"257","Salomon, Mr. Abraham L","Male",NA,"YES","1st Class"
"258","Schabert, Mrs. Paul (Emma Mock)","Female",35,"YES","1st Class"
"259","Serepeca, Miss. Augusta","Female",30,"YES","1st Class"
"260","Seward, Mr. Frederic Kimber","Male",34,"YES","1st Class"
"261","Shutes, Miss. Elizabeth W","Female",40,"YES","1st Class"
"262","Silverthorne, Mr. Spencer Victor","Male",35,"YES","1st Class"
"263","Silvey, Mr. William Baird","Male",50,"NO","1st Class"
"264","Silvey, Mrs. William Baird (Alice Munger)","Female",39,"YES","1st Class"
"265","Simonius-Blumer, Col. Oberst Alfons","Male",56,"YES","1st Class"
"266","Sloper, Mr. William Thompson","Male",28,"YES","1st Class"
"267","Smart, Mr. John Montgomery","Male",56,"NO","1st Class"
"268","Smith, Mr. James Clinch","Male",56,"NO","1st Class"
"269","Smith, Mr. Lucien Philip","Male",24,"NO","1st Class"
"270","Smith, Mr. Richard William","Male",NA,"NO","1st Class"
"271","Smith, Mrs. Lucien Philip (Mary Eloise Hughes)","Female",18,"YES","1st Class"
"272","Snyder, Mr. John Pillsbury","Male",24,"YES","1st Class"
"273","Snyder, Mrs. John Pillsbury (Nelle Stevenson)","Female",23,"YES","1st Class"
"274","Spedden, Master. Robert Douglas","Male",6,"YES","1st Class"
"275","Spedden, Mr. Frederic Oakley","Male",45,"YES","1st Class"
"276","Spedden, Mrs. Frederic Oakley (Margaretta Corning Stone)","Female",40,"YES","1st Class"
"277","Spencer, Mr. William Augustus","Male",57,"NO","1st Class"
"278","Spencer, Mrs. William Augustus (Marie Eugenie)","Female",NA,"YES","1st Class"
"279","Stahelin-Maeglin, Dr. Max","Male",32,"YES","1st Class"
"280","Stead, Mr. William Thomas","Male",62,"NO","1st Class"
"281","Stengel, Mr. Charles Emil Henry","Male",54,"YES","1st Class"
"282","Stengel, Mrs. Charles Emil Henry (Annie May Morris)","Female",43,"YES","1st Class"
"283","Stephenson, Mrs. Walter Bertram (Martha Eustis)","Female",52,"YES","1st Class"
"284","Stewart, Mr. Albert A","Male",NA,"NO","1st Class"
"285","Stone, Mrs. George Nelson (Martha Evelyn)","Female",62,"YES","1st Class"
"286","Straus, Mr. Isidor","Male",67,"NO","1st Class"
"287","Straus, Mrs. Isidor (Rosalie Ida Blun)","Female",63,"NO","1st Class"
"288","Sutton, Mr. Frederick","Male",61,"NO","1st Class"
"289","Swift, Mrs. Frederick Joel (Margaret Welles Barron)","Female",48,"YES","1st Class"
"290","Taussig, Miss. Ruth","Female",18,"YES","1st Class"
"291","Taussig, Mr. Emil","Male",52,"NO","1st Class"
"292","Taussig, Mrs. Emil (Tillie Mandelbaum)","Female",39,"YES","1st Class"
"293","Taylor, Mr. Elmer Zebley","Male",48,"YES","1st Class"
"294","Taylor, Mrs. Elmer Zebley (Juliet Cummins Wright)","Female",NA,"YES","1st Class"
"295","Thayer, Mr. John Borland","Male",49,"NO","1st Class"
"296","Thayer, Mr. John Borland Jr","Male",17,"YES","1st Class"
"297","Thayer, Mrs. John Borland (Marian Longstreth Morris)","Female",39,"YES","1st Class"
"298","Thorne, Mrs. Gertrude Maybelle","Female",NA,"YES","1st Class"
"299","Tucker, Mr. Gilbert Milligan Jr","Male",31,"YES","1st Class"
"300","Uruchurtu, Don. Manuel E","Male",40,"NO","1st Class"
"301","Van der hoef, Mr. Wyckoff","Male",61,"NO","1st Class"
"302","Walker, Mr. William Anderson","Male",47,"NO","1st Class"
"303","Ward, Miss. Anna","Female",35,"YES","1st Class"
"304","Warren, Mr. Frank Manley","Male",64,"NO","1st Class"
"305","Warren, Mrs. Frank Manley (Anna Sophia Atkinson)","Female",60,"YES","1st Class"
"306","Weir, Col. John","Male",60,"NO","1st Class"
"307","White, Mr. Percival Wayland","Male",54,"NO","1st Class"
"308","White, Mr. Richard Frasar","Male",21,"NO","1st Class"
"309","White, Mrs. John Stuart (Ella Holmes)","Female",55,"YES","1st Class"
"310","Wick, Miss. Mary Natalie","Female",31,"YES","1st Class"
"311","Wick, Mr. George Dennick","Male",57,"NO","1st Class"
"312","Wick, Mrs. George Dennick (Mary Hitchcock)","Female",45,"YES","1st Class"
"313","Widener, Mr. George Dunton","Male",50,"NO","1st Class"
"314","Widener, Mr. Harry Elkins","Male",27,"NO","1st Class"
"315","Widener, Mrs. George Dunton (Eleanor Elkins)","Female",50,"YES","1st Class"
"316","Willard, Miss. Constance","Female",21,"YES","1st Class"
"317","Williams, Mr. Charles Duane","Male",51,"NO","1st Class"
"318","Williams, Mr. Richard Norris II","Male",21,"YES","1st Class"
"319","Williams-Lambert, Mr. Fletcher Fellows","Male",NA,"NO","1st Class"
"320","Wilson, Miss. Helen Alice","Female",31,"YES","1st Class"
"321","Woolner, Mr. Hugh","Male",NA,"YES","1st Class"
"322","Wright, Mr. George","Male",62,"NO","1st Class"
"323","Young, Miss. Marie Grice","Female",36,"YES","1st Class"
"324","Abelson, Mr. Samuel","Male",30,"NO","2nd Class"
"325","Abelson, Mrs. Samuel (Hannah Wizosky)","Female",28,"YES","2nd Class"
"326","Aldworth, Mr. Charles Augustus","Male",30,"NO","2nd Class"
"327","Andrew, Mr. Edgardo Samuel","Male",18,"NO","2nd Class"
"328","Andrew, Mr. Frank Thomas","Male",25,"NO","2nd Class"
"329","Angle, Mr. William A","Male",34,"NO","2nd Class"
"330","Angle, Mrs. William A (Florence ""Mary"" Agnes Hughes)","Female",36,"YES","2nd Class"
"331","Ashby, Mr. John","Male",57,"NO","2nd Class"
"332","Bailey, Mr. Percy Andrew","Male",18,"NO","2nd Class"
"333","Baimbrigge, Mr. Charles Robert","Male",23,"NO","2nd Class"
"334","Ball, Mrs. (Ada E Hall)","Female",36,"YES","2nd Class"
"335","Banfield, Mr. Frederick James","Male",28,"NO","2nd Class"
"336","Bateman, Rev. Robert James","Male",51,"NO","2nd Class"
"337","Beane, Mr. Edward","Male",32,"YES","2nd Class"
"338","Beane, Mrs. Edward (Ethel Clarke)","Female",19,"YES","2nd Class"
"339","Beauchamp, Mr. Henry James","Male",28,"NO","2nd Class"
"340","Becker, Master. Richard F","Male",1,"YES","2nd Class"
"341","Becker, Miss. Marion Louise","Female",4,"YES","2nd Class"
"342","Becker, Miss. Ruth Elizabeth","Female",12,"YES","2nd Class"
"343","Becker, Mrs. Allen Oliver (Nellie E Baumgardner)","Female",36,"YES","2nd Class"
"344","Beesley, Mr. Lawrence","Male",34,"YES","2nd Class"
"345","Bentham, Miss. Lilian W","Female",19,"YES","2nd Class"
"346","Berriman, Mr. William John","Male",23,"NO","2nd Class"
"347","Botsford, Mr. William Hull","Male",26,"NO","2nd Class"
"348","Bowenur, Mr. Solomon","Male",42,"NO","2nd Class"
"349","Bracken, Mr. James H","Male",27,"NO","2nd Class"
"350","Brown, Miss. Amelia ""Mildred""","Female",24,"YES","2nd Class"
"351","Brown, Miss. Edith Eileen","Female",15,"YES","2nd Class"
"352","Brown, Mr. Thomas William Solomon","Male",60,"NO","2nd Class"
"353","Brown, Mrs. Thomas William Solomon (Elizabeth Catherine Ford)","Female",40,"YES","2nd Class"
"354","Bryhl, Miss. Dagmar Jenny Ingeborg ","Female",20,"YES","2nd Class"
"355","Bryhl, Mr. Kurt Arnold Gottfrid","Male",25,"NO","2nd Class"
"356","Buss, Miss. Kate","Female",36,"YES","2nd Class"
"357","Butler, Mr. Reginald Fenton","Male",25,"NO","2nd Class"
"358","Byles, Rev. Thomas Roussel Davids","Male",42,"NO","2nd Class"
"359","Bystrom, Mrs. (Karolina)","Female",42,"YES","2nd Class"
"360","Caldwell, Master. Alden Gates","Male",0,"YES","2nd Class"
"361","Caldwell, Mr. Albert Francis","Male",26,"YES","2nd Class"
"362","Caldwell, Mrs. Albert Francis (Sylvia Mae Harbaugh)","Female",22,"YES","2nd Class"
"363","Cameron, Miss. Clear Annie","Female",35,"YES","2nd Class"
"364","Campbell, Mr. William","Male",NA,"NO","2nd Class"
"365","Carbines, Mr. William","Male",19,"NO","2nd Class"
"366","Carter, Mrs. Ernest Courtenay (Lilian Hughes)","Female",44,"NO","2nd Class"
"367","Carter, Rev. Ernest Courtenay","Male",54,"NO","2nd Class"
"368","Chapman, Mr. Charles Henry","Male",52,"NO","2nd Class"
"369","Chapman, Mr. John Henry","Male",37,"NO","2nd Class"
"370","Chapman, Mrs. John Henry (Sara Elizabeth Lawry)","Female",29,"NO","2nd Class"
